id,portal,title,property_type,canon,admin_fee,total_price,price_per_m2,neighborhood,zone,address,area_m2,bedrooms,bathrooms,parking,stratum,url,contact_phone,contact_whatsapp,contact_agency,contact_agent_name,images_count,main_image,verified,description
FR-192861424,Finca Raiz,"Apartamento en Arriendo en Riomar, Barranquilla",Apartamento,1200000,0,1200000,20000,Riomar,Noroccidente,"Carrera 45B #93-34, Norte Centro Historico, Barranquilla, Atlántico, Colombia",60.0,2,1,0,5,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-riomar-barranquilla/192861424,+5730,,Punto Inmobiliario,Punto Inmobiliario,14,https://cdn2.infocasas.com.uy/gen-ai/enhanced_image_20260805165018.png,True,"¡Tu nuevo hogar te espera!  Arrienda este amplio apartamento de 2 alcobas con el encanto clásico que solo los inmuebles de antes pueden ofrecer. Espacios generosos que ya no se construyen, iluminación natural en todas las áreas, cocina tradicional, funcional y lista para usarse, ubicación estratégic"
FR-194267696,Finca Raiz,"Apartamento en Arriendo en Paraiso, Barranquilla",Apartamento,1250000,0,1250000,18939,Paraiso,Norte,CARRERA 78 80- 59,66.0,2,2,0,4,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-paraiso-barranquilla/194267696,+5731,,ARIZA & CORREA,ARIZA & CORREA,10,https://cdn2.infocasas.com.uy/repo/img/6aaae16a19b23_infocdn__13f881a2-27bf-4ccc-b7aa-e09ec53999d4.jpeg,True,"traemos para ti este apartamento acogedor de un solo ambiente, con espacio en la terraza para una moto, cuenta con enrejado y un pequeño patio. el apartamento se encuentra ubicado en sector central de la ciudad con supermercados cercanos.  ***"
MQ-10662-M5366680,Metrocuadrado,"Apartamento en Arriendo, GOLF ALTO PRADO, Barranquilla",Apartamento,1300000,0,1300000,54167,Golf Alto Prado,Noroccidente,"Golf Alto Prado, Barranquilla",24.0,1,1,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-altos-del-prado-1-habitaciones-1-banos-1-garajes/10662-M5366680,3188483040,573188483040,Inmobiliaria,GUILLERMO ARTURO CABREJO CARDENAS,7,https://multimedia.metrocuadrado.com/10662-M5366680/10662-M5366680_11.jpg,True,"APARTAESTUDIO AMOBLADO EN ALTO PRADO – TORRE 50.    Ubicación privilegiada en una de las zonas más exclusivas de Barranquilla  Disfruta del clima caribeño en un ambiente moderno y acogedor.   Totalmente nuevo y equipado para tu comodidad:  Mobiliario completo.  Refrigerador, cocina equipada y baño c"
MQ-5410-M6426686,Metrocuadrado,"Apartamento en Arriendo, La Cumbre, Barranquilla",Apartamento,1400000,0,1400000,21538,La Cumbre,Noroccidente,"La Cumbre, Barranquilla",65.0,2,2,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-la-cumbre-2-habitaciones-1-banos-1-garajes/5410-M6426686,3145889507,573145889507,Inmobiliaria / Inmobiliaria Mchaileh,Asesor Comercial,18,https://multimedia.metrocuadrado.com/5410-M6426686/5410-M6426686_9.jpg,True,"Descubre este acogedor apartamento de 2 habitaciones y 1 baño, con una cocina equipada perfecta para tus creaciones culinarias. Disfruta del aire fresco en el balcón, y relájate en la sala-comedor con tus seres queridos. La zona de ropas te facilitará las tareas del hogar, y tendrás un garaje Descub"
MQ-23769-M7006504,Metrocuadrado,"Apartamento en Arriendo, El Tabor, Barranquilla",Apartamento,1410000,0,1410000,21692,El Tabor,Noroccidente,"El Tabor, Barranquilla",65.0,2,2,0,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-el-poblado-2-habitaciones-2-banos/23769-M7006504,3163344763,573163344763,Inmobiliaria,GINA DEL SOCORRO BARRAZA SANJUAN,12,https://multimedia.metrocuadrado.com/23769-M7006504/23769-M7006504_1.jpg,True,"SE ARRIENDA APARTAMENTO PARA ESTRENAR, EXCELENTE UBICACION COMERCIAL Y RESIDENCIAL. CON SU DISTRIBUCION HACEN DE ESTE ESPACIO TRANQUILO Y DISCRETO PARA LAS HABITACIONES DE SUS RESIDENTES. CON DISEÑO PARA FAMILIAS PEQUEÑAS, HACEN DE ESTE LUGAR UN ATRACTIVO PARA QUIENES BUSCAN UNA VIDA DE DESCANSO.  E"
MQ-MC6960345,Metrocuadrado,"Apartamento en Arriendo, ALTO PRADO   Noroccidente, Barranquilla",Apartamento,1000000,424000,1424000,27922,Alto Prado,Noroccidente,"Alto Prado, Barranquilla",51.0,1,1,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-altos-del-prado-1-habitaciones-1-banos-1-garajes/MC6960345,3214261936,573214261936,Persona natural,Jorge Jorge,12,https://multimedia.metrocuadrado.com/MC6960345/MC6960345_31.jpg,True,"Apartamento en quinto piso con ascensor, iluminado y ventilado. Balcón exterior con malla protectora. Cuenta con baño y cocina remodelados recientemente con acabados de lujo. Una habitación espaciosa con clóset amplio y baño interno. Espacio abierto de sala-comedor y cocina americana. Cuarto de labo"
FR-194056423,Finca Raiz,"Apartamento en Arriendo en Ciudad jardin, Barranquilla",Apartamento,1430000,0,1430000,34878,Ciudad jardin,Norte,"Calle 79b #42F-158, Las Mercedes, Barranquilla, Atlantico, Colombia",41.0,1,1,1,4,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ciudad-jardin-barranquilla/194056423,+5731,,Fabiola Rueda,Fabiola Rueda,8,https://cdn2.infocasas.com.uy/repo/img/6a6be7703937a_infocdn__trkuvcohv8b7a7hbntinvbdhgwwiatzpqpih7qq3jpg.jpg,True,"Acogedor apartamento de una habitación ubicado en el sexto piso de un edificio con vista a la ciudad. Cuenta con una habitación, un baño, área de sala comedor, área de labores, cocina dotada con mesa pantry y citofonia. El edificio cuenta con ascensor, vigilancia 24h, gimnasio, salón social, terraza"
MERGED-16553-M6807520-193925361,Metrocuadrado + Finca Raiz,"Apartamento en Arriendo en San vicente, Barranquilla",Apartamento,1450000,0,1450000,20714,San Vicente,Norte,"San Vicente, Barranquilla",70.0,2,3,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-san-vicente-2-habitaciones-3-banos-1-garajes/16553-M6807520,3012924451,573012924451,ASESORAR INMOBILIARIA DEL CARIBE S.A.S / Inmobiliaria,BENJAMIN BARRIOS MUNIVE,25,https://multimedia.metrocuadrado.com/16553-M6807520/16553-M6807520_14.jpg,True,"En el corazón de Barranquilla, en la vibrante Zona Norte del Centro Histórico, se encuentra un apartamento que representa una oportunidad única para quienes buscan un hogar en una ubicación privilegiada. Construido en 2018, este inmueble de estrato 5 combina modernidad y funcionalidad, ofreciendo un"
FR-193995733,Finca Raiz,"Apartamento en Arriendo en Miramar, Barranquilla",Apartamento,1490000,0,1490000,29800,Miramar,Noroccidente,"Edificio Residencial Firenze, Carrera 42F #99A-46, Norte Centro Historico, Barranquilla, Atlántico, Colombia",50.0,2,2,1,3,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-miramar-barranquilla/193995733,57300,,oscar m tapias u,oscar m tapias u,8,https://cdn2.infocasas.com.uy/repo/img/6a5833891daa1_infocdn__ec3yrqwnxugjv3orqxaz5eaqe2iwvgvrdp6affxujpg.jpg,True,Hermoso Apartamento en el sector de Miramar. Conjunto Residencial Firenze
MQ-MC7068323,Metrocuadrado,"Apartamento en Arriendo, ANDALUCIA   Noroccidente, Barranquilla",Apartamento,1180000,313000,1493000,33178,Andalucia,Noroccidente,"Andalucia, Barranquilla",45.0,1,1,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-andalucia-1-habitaciones-1-banos-1-garajes/MC7068323,3027137754,573027137754,Persona natural,ALEJANDRA  ORTEGA,12,https://multimedia.metrocuadrado.com/MC7068323/MC7068323_1.jpg,True,"Hermoso Apartamento de una alcoba, estancias separadas, acabados de lujo, fresco, iluminado balcón amplio con vista, NO AMOBLADO. Frente complejo deportivo y Parque Tívoli, mejor zona estrato 5 de Barranquilla, a pocas cuadras de C.Cial. Plaza del Parque, Boulevard Buenavista.  CANON   ADMÓN. NO NEG"
